2024,ACM TOCE,"Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer Science Exam.",UNIFOR,Nabor C. Mendonça,https://doi.org/10.1145/3674149,top,J,http://arxiv.org/abs/2406.09671v1,0
2022,IEEE ToE,"Latin American Women and Computer Science: A Systematic Literature Mapping.",UnB,Maristela Holanda; Dilma Da Silva,https://doi.org/10.1109/TE.2021.3115460,null,J,no_arxiv,0
2022,IEEE ToE,"Role-Playing Games for Fostering Communication and Negotiation Skills.",ICMC/USP,Maria Lydia Fioravanti; Camila Dias de Oliveira Sestito; William Simão de Deus; Lilian Passos Scatalon; Ellen Francine Barbosa,https://doi.org/10.1109/TE.2021.3117898,null,J,no_arxiv,0
2022,ITiCSE,"DBSnap-Eval: Identifying Database Query Construction Patterns.",UFU,Yasin N. Silva; Alexis Loza; Humberto Luiz Razente,https://doi.org/10.1145/3502718.3524822,null,C,no_arxiv,0
2022,ITiCSE,"Evaluation of a Sixth-Grade Computing Textbook.",UEFS,Emanuele A. F. Mascarenhas; Roberto A. Bittencourt,https://doi.org/10.1145/3502718.3524738,null,C,no_arxiv,0
2021,ACM TOCE,"Rules of Program Behavior.",IFMS,Rodrigo Duran 0001; Juha Sorva; Otto Seppälä,https://doi.org/10.1145/3469128,top,J,no_arxiv,0
2021,IEEE ToE,"Two Decades of PBL in Teaching Computing: A Systematic Mapping Study.",UFPE,Simone C. dos Santos; Priscila B. S. Reis; Jacinto F. S. Reis; Fábio Tavares Arruda,https://doi.org/10.1109/TE.2020.3033416,null,J,no_arxiv,0
2021,ITiCSE,"Online Hackathons as an Engaging Tool to Promote Group Work in Emergency Remote Learning.",UFPE,Kiev Gama; Carlos Zimmerle; Pedro Rossi,https://doi.org/10.1145/3430665.3456312,null,C,http://arxiv.org/abs/2105.06388v1,0
2021,SIGCSE,"Gamification Works, but How and to Whom?: An Experimental Study in the Context of Programming Lessons.",ICMC/USP,Luiz A. L. Rodrigues; Armando M. Toda; Wilk Oliveira; Paula T. Palomino; Anderson Paulo Avila Santos; Seiji Isotani,https://doi.org/10.1145/3408877.3432419,null,C,no_arxiv,0
2021,SIGCSE,"Towards a Human-AI Hybrid System for Categorising Programming Problems.",UFAM,Filipe Dwan Pereira; Francisco Pires; Samuel C. Fonseca; Elaine H. T. Oliveira; Leandro S. G. Carvalho; David B. F. Oliveira; Alexandra I. Cristea,https://doi.org/10.1145/3408877.3432422,null,C,no_arxiv,0
2020,ITiCSE,"Exploring Creativity and Learning through the Construction of (Non-Digital) Board Games in HCI Courses.",PUC-RS,Milene Selbach Silveira,https://doi.org/10.1145/3341525.3387374,null,C,no_arxiv,0
2020,SIGCSE,"A Large-scale Evaluation of a Rubric for the Automatic Assessment of Algorithms and Programming Concepts.",UFSC,Nathalia da Cruz Alves; Christiane Gresse von Wangenheim; Jean Carlo Rossa Hauck; Adriano Ferreti Borgatto,https://doi.org/10.1145/3328778.3366840,null,C,no_arxiv,0
2020,SIGCSE,"A Strategy to Enhance Computer Science Teaching Material Using Topic Modelling: Towards Overcoming The Gap Between College And Workplace Skills.",UNESP,Ingrid Marçal; Rogério Eduardo Garcia; Danilo Medeiros Eler; Ronaldo Celso Messias Correia,https://doi.org/10.1145/3328778.3366858,null,C,no_arxiv,0
2020,SIGCSE,"Automated Assessment of the Visual Design of Android Apps Developed with App Inventor.",UFSC,Igor da Silva Solecki; João V. Araujo Porto; Nathalia da Cruz Alves; Christiane Gresse von Wangenheim; Jean C. R. Hauck; Adriano Ferreti Borgatto,https://doi.org/10.1145/3328778.3366868,null,C,no_arxiv,0
2020,SIGCSE,"Gender Differences in Introductory Programming: Comparing MOOCs and Local Courses.",IFMS,Rodrigo Duran 0001; Lassi Haaranen; Arto Hellas,https://doi.org/10.1145/3328778.3366852,null,C,no_arxiv,0
