2021,Proc. VLDB,"Data Management in Microservices: State of the Practice, Challenges, and Research Directions.",Rodrigo N. Laigner; Yongluan Zhou; Marcos Antonio Vaz Salles; Yijian Liu; Marcos Kalinowski,http://www.vldb.org/pvldb/vol14/p3348-laigner.pdf,top,J,http://arxiv.org/abs/2103.00170v2,0
2023,ESEM,"Assessing the Use of AutoML for Data-Driven Software Engineering.",Fabio Calefato; Luigi Quaranta; Filippo Lanubile; Marcos Kalinowski,https://doi.org/10.1109/ESEM56168.2023.10304796,null,C,no_arxiv,0
2022,IST,"Successful combination of database search and snowballing for identification of primary studies in systematic literature studies.",Claes Wohlin; Marcos Kalinowski; Kátia Romero Felizardo; Emilia Mendes,https://doi.org/10.1016/j.infsof.2022.106908,null,J,no_arxiv,0
2022,JSS,"Cataloging dependency injection anti-patterns in software systems.",Rodrigo Laigner; Diogo S. Mendonça; Alessandro F. Garcia 0001; Marcos Kalinowski,https://doi.org/10.1016/j.jss.2021.111125,null,J,no_arxiv,0
2022,SQJ,"An empirical investigation on the challenges of creating custom static analysis rules for defect localization.",Diogo S. Mendonça; Marcos Kalinowski,https://doi.org/10.1007/s11219-021-09580-z,null,J,http://arxiv.org/abs/2011.12886v3,0
2022,TSE,"What Makes Agile Software Development Agile?",Marco Kuhrmann; Paolo Tell; Regina Hebig; Jil Klünder; Jürgen Münch; Oliver Linssen; Dietmar Pfahl; Michael Felderer; Christian R. Prause; Stephen G. MacDonell; Joyce Nakatumba-Nabende; David Raffo; Sarah Beecham; Eray Tüzün; Gustavo López 0001; Nicolás Paez; Diego Fontdevila; Sherlock A. Licorish; Steffen Küpper; Günther Ruhe; Eric Knauss; Özden Özcan-Top; Paul M. Clarke; Fergal McCaffery; Marcela Genero; Aurora Vizcaíno; Mario Piattini; Marcos Kalinowski; Tayana Conte; Rafael Prikladnicki; Stephan Krusche; Ahmet Coskunçay; Ezequiel Scott; Fabio Calefato; Svetlana Pimonova; Rolf-Helge Pfeiffer; Ulrik Pagh Schultz; Rogardt Heldal; Masud Fazal-Baqaie; Craig Anslow; Maleknaz Nayebi; Kurt Schneider; Stefan Sauer 0001; Dietmar Winkler 0001; Stefan Biffl; María Cecilia Bastarrica; Ita Richardson,https://doi.org/10.1109/TSE.2021.3099532,top,J,http://arxiv.org/abs/2109.11435v1,0
2020,EMSE,"Pandemic programming.",Paul Ralph; Sebastian Baltes; Gianisa Adisaputri; Richard Torkar; Vladimir Kovalenko; Marcos Kalinowski; Nicole Novielli; Shin Yoo; Xavier Devroey; Xin Tan 0003; Minghui Zhou 0001; Burak Turhan; Rashina Hoda; Hideaki Hata; Gregorio Robles; Amin Milani Fard; Rana Alkadhi,https://doi.org/10.1007/s10664-020-09875-y,null,J,no_arxiv,0
2020,IST,"Identifying self-admitted technical debt through code comment analysis with a contextualized vocabulary.",Mário André de Freitas Farias; Manoel Gomes de Mendonça Neto; Marcos Kalinowski; Rodrigo Oliveira Spínola,https://doi.org/10.1016/j.infsof.2020.106270,null,J,no_arxiv,0
2020,IST,"On the performance of hybrid search strategies for systematic literature reviews in software engineering.",Érica Mourão; João Felipe Pimentel; Leonardo Murta 0001; Marcos Kalinowski; Emilia Mendes; Claes Wohlin,https://doi.org/10.1016/j.infsof.2020.106294,null,J,http://arxiv.org/abs/2004.09741v1,0
2020,IST,"Guidelines for the search strategy to update systematic literature reviews in software engineering.",Claes Wohlin; Emilia Mendes; Kátia Romero Felizardo; Marcos Kalinowski,https://doi.org/10.1016/j.infsof.2020.106366,null,J,http://arxiv.org/abs/2006.05542v1,0
2020,JSS,"When to update systematic literature reviews in software engineering.",Emilia Mendes; Claes Wohlin; Kátia Romero Felizardo; Marcos Kalinowski,https://doi.org/10.1016/j.jss.2020.110607,null,J,http://arxiv.org/abs/2004.06183v1,0
2020,REJ,"An efficient approach for reviewing security-related aspects in agile requirements specifications of web applications.",Hugo Villamizar; Marcos Kalinowski; Alessandro F. Garcia 0001; Daniel Méndez 0001,https://doi.org/10.1007/s00766-020-00338-w,null,J,no_arxiv,0
