2016,IEEE Computer Graphics and Applications,"Underwater Depth Estimation and Image Restoration Based on Single Images.",Paulo Drews Jr.; Erickson R. Nascimento; Silvia S. C. Botelho; Mario Fernando Montenegro Campos,https://doi.org/10.1109/MCG.2016.26,null,J,no_arxiv,21
2015,IROS,"3D path planning with continuous bounded curvature and pitch angle profiles using 7th order curves.",Armando Alves Neto; Douglas Guimarães Macharet; Mario Fernando Montenegro Campos,https://doi.org/10.1109/IROS.2015.7354069,null,C,no_arxiv,1
2014,IROS,"Hybrid Unmanned Aerial Underwater Vehicle: Modeling and simulation.",Paulo Lilles Jorge Drews Junior; Armando Alves Neto; Mario Fernando Montenegro Campos,https://doi.org/10.1109/IROS.2014.6943220,null,C,no_arxiv,15
2018,JVCI,"Making a long story short: A multi-importance fast-forwarding egocentric videos with the emphasis on relevant objects.",Michel Melo Silva; Washington L. S. Ramos; Felipe C. Chamone; João P. K. Ferreira; Mario F. M. Campos; Erickson R. Nascimento,https://doi.org/10.1016/j.jvcir.2018.02.013,null,J,no_arxiv,1
2018,JVCI,"Single-shot underwater image restoration: A visual quality-aware method based on light propagation model.",Wagner Barros; Erickson R. Nascimento; Walysson V. Barbosa; Mario F. M. Campos,https://doi.org/10.1016/j.jvcir.2018.06.018,null,J,no_arxiv,0
2018,CVPR,"A Weighted Sparse Sampling and Smoothing Frame Transition Approach for Semantic Fast-Forward First-Person Videos.",Michel Melo Silva; Washington L. S. Ramos; João P. K. Ferreira; Felipe C. Chamone; Mario F. M. Campos; Erickson R. Nascimento,http://openaccess.thecvf.com/content_cvpr_2018/html/Silva_A_Weighted_Sparse_CVPR_2018_paper.html,top,C,no_arxiv,
2017,MVAP,"Towards an efficient 3D model estimation methodology for aerial and ground images.",Guilherme A. Potje; Gabriel Resende; Mario F. M. Campos; Erickson R. Nascimento,https://doi.org/10.1007/s00138-017-0875-x,null,J,no_arxiv,2
2017,PRL,"KVD: Scale invariant keypoints by combining visual and depth data.",Levi O. Vasconcelos; Erickson R. Nascimento; Mario F. M. Campos,https://doi.org/10.1016/j.patrec.2016.11.013,null,J,no_arxiv,0
2014,PRL,"On the improvement of human action recognition from depth map sequences using Space-Time Occupancy Patterns.",Antônio Wilson Vieira; Erickson R. Nascimento; Gabriel L. Oliveira; Zicheng Liu; Mario Fernando Montenegro Campos,https://doi.org/10.1016/j.patrec.2013.07.011,null,J,no_arxiv,26
2014,PRL,"Online gesture recognition from pose kernel learning and decision forests.",Leandro Miranda; Thales Vieira; Dimas Martínez Morera; Thomas Lewiner; Antônio Wilson Vieira; Mario Fernando Montenegro Campos,https://doi.org/10.1016/j.patrec.2013.10.005,null,J,no_arxiv,28
2014,IEEE TIP,"Sparse Spatial Coding: A Novel Approach to Visual Recognition.",Gabriel Leivas Oliveira; Erickson R. Nascimento; Antônio Wilson Vieira; Mario Fernando Montenegro Campos,https://doi.org/10.1109/TIP.2014.2317988,null,J,no_arxiv,9
