2022,BMC Bioinformatics,"Semantic interoperability: ontological unpacking of a viral conceptual model.",Anna Bernasconi 0002; Giancarlo Guizzardi; Oscar Pastor 0001; Veda C. Storey,https://doi.org/10.1186/s12859-022-05022-0,null,J,no_arxiv,0
2021,Inf. Systems,"Service contract modeling in Enterprise Architecture: An ontology-based approach.",Cristine Griffo; João Paulo A. Almeida; Giancarlo Guizzardi; Julio Cesar Nardi,https://doi.org/10.1016/j.is.2019.101454,null,J,no_arxiv,0
2021,ER,"Forward Engineering Relational Schemas and High-Level Data Access from Conceptual Models.",Gustavo L. Guidoni; João Paulo A. Almeida; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-030-89022-3_12,null,C,no_arxiv,0
2021,ER,"Trustworthiness Requirements: The Pix Case Study.",Glenda C. M. Amaral; Renata S. S. Guizzardi; Giancarlo Guizzardi; John Mylopoulos,https://doi.org/10.1007/978-3-030-89022-3_21,null,C,no_arxiv,0
2021,ER,"Ontological Unpacking as Explanation: The Case of the Viral Conceptual Model.",Giancarlo Guizzardi; Anna Bernasconi 0002; Oscar Pastor 0001; Veda C. Storey,https://doi.org/10.1007/978-3-030-89022-3_28,null,C,no_arxiv,0
2021,ER,"Type or Individual? Evidence of Large-Scale Conceptual Disarray in Wikidata.",Atílio A. Dadalto; João Paulo A. Almeida; Claudenir M. Fonseca; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-030-89022-3_29,null,C,no_arxiv,0
2020,ER,"Transformation of Ontology-Based Conceptual Models into Relational Schemas.",Gustavo L. Guidoni; João Paulo A. Almeida; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-030-62522-1_23,null,C,no_arxiv,0
2020,ER,"Ontology-Based Modeling and Analysis of Trustworthiness Requirements: Preliminary Results.",Glenda C. M. Amaral; Renata S. S. Guizzardi; Giancarlo Guizzardi; John Mylopoulos,https://doi.org/10.1007/978-3-030-62522-1_25,null,C,no_arxiv,0
2020,ER,"A Core Ontology for Economic Exchanges.",Daniele Porello; Giancarlo Guizzardi; Tiago Prince Sales; Glenda C. M. Amaral,https://doi.org/10.1007/978-3-030-62522-1_27,null,C,no_arxiv,0
2019,Inf. Systems,"Comparing traditional conceptual modeling with ontology-driven conceptual modeling: An empirical study.",Michaël Verdonck; Frederik Gailly; Robert Pergl; Giancarlo Guizzardi; Beatriz Franco Martins; Oscar Pastor 0001,https://doi.org/10.1016/j.is.2018.11.009,null,J,no_arxiv,0
2019,CAiSE,"A Pattern Language for Value Modeling in ArchiMate.",Tiago Prince Sales; Ben Roelens; Geert Poels; Giancarlo Guizzardi; Nicola Guarino; John Mylopoulos,https://doi.org/10.1007/978-3-030-21290-2_15,null,C,no_arxiv,0
2019,CAiSE,"Fifty Shades of Green: How Informative is a Compliant Process Trace?",Andrea Burattin; Giancarlo Guizzardi; Fabrizio Maria Maggi; Marco Montali,https://doi.org/10.1007/978-3-030-21290-2_38,null,C,no_arxiv,0
2019,EDOC,"Foundational Choices in Enterprise Architecture: The Case of Capability in Defense Frameworks.",Gabriel M. Miranda; João Paulo A. Almeida; Giancarlo Guizzardi; Carlos L. B. Azevedo,https://doi.org/10.1109/EDOC.2019.00014,null,C,no_arxiv,0
2019,EDOC,"An Ontology-Based Diagnosis of Mainstream Service Modeling Languages.",Julio Cesar Nardi; João Paulo A. Almeida; Paulo Henrique A. da Silva; Giancarlo Guizzardi,https://doi.org/10.1109/EDOC.2019.00023,null,C,no_arxiv,0
2019,ER,"Relations in Ontology-Driven Conceptual Modeling.",Claudenir M. Fonseca; Daniele Porello; Giancarlo Guizzardi; João Paulo A. Almeida; Nicola Guarino,https://doi.org/10.1007/978-3-030-33223-5_4,null,C,no_arxiv,0
2019,ER,"Events as Entities in Ontology-Driven Conceptual Modeling.",João Paulo A. Almeida; Ricardo de Almeida Falbo; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-030-33223-5_39,null,C,no_arxiv,0
2023,SoSyM,"An ontology-based approach to engineering ethicality requirements.",Renata S. S. Guizzardi; Glenda C. M. Amaral; Giancarlo Guizzardi; John Mylopoulos,https://doi.org/10.1007/s10270-023-01115-3,null,J,no_arxiv,0
2022,SoSyM,"Automated conceptual model clustering: a relator-centric approach.",Giancarlo Guizzardi; Tiago Prince Sales; João Paulo A. Almeida; Geert Poels,https://doi.org/10.1007/s10270-021-00919-5,null,J,no_arxiv,0
